Ligand_ID,Delta_G_kcal_mol,Pose_RMSD_A,Hydrogen_Atoms
sanc_118,-10.821,14.674,23
sanc_704,-10.085,15.831,20
sanc_40,-10.06,16.059,14
sanc_604,-10.045,16.429,16
sanc_447,-9.952,15.972,30
sanc_41,-9.592,15.418,14
sanc_34,-9.555,16.459,16
sanc_603,-9.471,16.038,16
sanc_614,-9.37,15.248,21
sanc_33,-9.229,15.503,15
sanc_999,-9.168,16.145,12
sanc_607,-9.073,16.064,16
sanc_615,-8.963,16.113,12
sanc_487,-8.879,15.747,50
sanc_620,-8.851,16.073,30
sanc_606,-8.845,14.936,22
sanc_995,-8.824,16.481,12
sanc_610,-8.545,17.009,30
sanc_446,-8.508,14.993,26
sanc_998,-8.494,15.078,18
sanc_618,-8.422,16.679,30
sanc_621,-8.378,16.058,34
sanc_611,-8.375,15.63,32
sanc_622,-8.174,15.863,34
sanc_619,-8.137,16.403,32
sanc_1002,-8.052,14.978,30
sanc_445,-8.045,14.89,28
sanc_605,-8.002,16.016,28
sanc_613,-7.844,18.389,28
sanc_873,-7.832,14.923,48
sanc_600,-7.749,16.244,46
sanc_617,-7.552,16.374,28
sanc_602,-7.243,15.215,20
sanc_327,-7.131,15.927,28
sanc_599,-7.044,15.895,20
sanc_616,-6.893,15.78,28
sanc_612,-6.673,16.518,13
sanc_609,-6.499,17.872,46
sanc_608,-6.354,18.021,44
sanc_441,-6.344,18.419,60
sanc_919,-6.257,16.17,38
sanc_991,-6.172,22.811,78
sanc_601,-6.039,17.13,44
sanc_997,-5.914,17.913,60
sanc_921,-5.831,16.423,14
sanc_920,-5.705,15.405,16
sanc_1001,-4.692,15.78,11
sanc_1000,-4.035,16.169,48
sanc_996,-2.904,18.913,96
sanc_386,86.398,22.9,74
sanc_113,236.689,19.04,89
sanc_77,862.275,16.336,93
