Ligand_ID,Delta_G_kcal_mol,Pose_RMSD_A,Hydrogen_Atoms
sanc_118,-10.819,14.681,23
sanc_40,-10.106,16.044,14
sanc_704,-10.081,15.802,20
sanc_604,-10.044,16.432,16
sanc_447,-9.976,15.946,30
sanc_41,-9.576,15.413,14
sanc_34,-9.572,16.433,16
sanc_603,-9.463,16.024,16
sanc_614,-9.405,15.237,21
sanc_999,-9.177,16.142,12
sanc_33,-9.157,15.561,15
sanc_607,-9.047,16.058,16
sanc_615,-8.938,16.087,12
sanc_606,-8.845,14.911,22
sanc_487,-8.835,15.753,50
sanc_620,-8.835,16.094,30
sanc_995,-8.799,16.527,12
sanc_610,-8.538,17.001,30
sanc_998,-8.494,15.08,18
sanc_611,-8.353,15.612,32
sanc_618,-8.35,16.513,30
sanc_446,-8.217,14.994,26
sanc_619,-8.195,16.377,32
sanc_622,-8.185,15.902,34
sanc_1002,-8.063,14.984,30
sanc_445,-8.029,14.915,28
sanc_621,-7.873,15.849,34
sanc_613,-7.832,18.522,28
sanc_600,-7.808,16.245,46
sanc_873,-7.805,14.922,48
sanc_605,-7.776,16.022,28
sanc_617,-7.52,16.518,28
sanc_602,-7.264,15.23,20
sanc_327,-7.138,15.926,28
sanc_616,-7.079,15.96,28
sanc_599,-7.052,15.865,20
sanc_612,-6.559,16.504,13
sanc_609,-6.496,17.872,46
sanc_608,-6.346,18.02,44
sanc_919,-6.059,15.795,38
sanc_601,-6.042,17.11,44
sanc_997,-5.951,17.942,60
sanc_921,-5.856,16.442,14
sanc_920,-5.7,15.416,16
sanc_991,-5.667,20.938,78
sanc_1001,-4.633,15.538,11
sanc_1000,-4.505,24.187,48
sanc_441,-1.441,18.137,60
sanc_996,-1.429,18.236,96
sanc_386,86.067,22.883,74
sanc_113,117.52,18.713,89
sanc_77,169.42,16.468,93
