Ligand_ID,n_vars,n_geometry_couplings,coupling_density,best_method,best_energy,sa_energy,tabu_energy,steepest_energy,sa_seconds,valid_assignment,assignment
SANC00131,54,1014,0.954,sa,-727.689,-727.689,-727.689,-725.411,0.3069,True,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 7, ""4"": 1, ""5"": 4}"
SANC00265,54,1018,0.957,tabu,-732.925,-730.237,-732.925,-730.87,0.3553,True,"{""0"": 3, ""1"": 5, ""2"": 8, ""3"": 7, ""4"": 1, ""5"": 0}"
SANC00107,54,1022,0.959,sa,-707.816,-707.816,-707.816,-704.704,0.308,True,"{""0"": 0, ""1"": 7, ""2"": 1, ""3"": 6, ""4"": 8, ""5"": 2}"
SANC00288,54,1022,0.959,tabu,-720.233,-716.164,-720.233,-719.746,0.2971,True,"{""0"": 5, ""1"": 8, ""2"": 4, ""3"": 6, ""4"": 0, ""5"": 1}"
SANC00306,54,1006,0.948,tabu,-723.431,-717.121,-723.431,-722.395,0.2988,True,"{""0"": 6, ""1"": 0, ""2"": 1, ""3"": 7, ""4"": 4, ""5"": 8}"
SANC00287,54,1030,0.965,steepest,-726.619,-726.619,-726.619,-726.619,0.2973,True,"{""0"": 6, ""1"": 0, ""2"": 5, ""3"": 2, ""4"": 1, ""5"": 4}"
SANC00403,54,1034,0.968,steepest,-680.497,-679.96,-680.497,-680.497,0.3074,True,"{""0"": 8, ""1"": 6, ""2"": 5, ""3"": 4, ""4"": 2, ""5"": 7}"
SANC00153,54,1040,0.972,tabu,-720.152,-717.174,-720.152,-720.152,0.3039,True,"{""0"": 0, ""1"": 6, ""2"": 5, ""3"": 1, ""4"": 8, ""5"": 2}"
SANC00365,54,1020,0.958,tabu,-719.943,-719.943,-719.943,-718.778,0.2998,True,"{""0"": 0, ""1"": 1, ""2"": 5, ""3"": 2, ""4"": 4, ""5"": 3}"
SANC00164,54,1034,0.968,steepest,-729.072,-726.7,-729.072,-729.072,0.353,True,"{""0"": 0, ""1"": 7, ""2"": 5, ""3"": 1, ""4"": 2, ""5"": 3}"
SANC00249,54,1030,0.965,steepest,-736.915,-736.915,-736.915,-736.915,0.3009,True,"{""0"": 5, ""1"": 3, ""2"": 0, ""3"": 4, ""4"": 1, ""5"": 7}"
SANC00373,54,1040,0.972,steepest,-705.633,-705.633,-705.633,-705.633,0.3033,True,"{""0"": 7, ""1"": 2, ""2"": 5, ""3"": 6, ""4"": 1, ""5"": 3}"
SANC00219,54,1020,0.958,steepest,-739.597,-739.597,-739.597,-739.597,0.3976,True,"{""0"": 6, ""1"": 8, ""2"": 1, ""3"": 0, ""4"": 7, ""5"": 4}"
SANC00175,54,1030,0.965,tabu,-733.373,-733.373,-733.373,-733.373,0.3036,True,"{""0"": 6, ""1"": 1, ""2"": 7, ""3"": 0, ""4"": 8, ""5"": 4}"
SANC00387,54,1038,0.971,tabu,-728.847,-728.847,-728.847,-728.847,0.3052,True,"{""0"": 0, ""1"": 5, ""2"": 2, ""3"": 1, ""4"": 7, ""5"": 4}"
SANC00200,54,1012,0.952,steepest,-708.882,-705.429,-708.882,-708.882,0.2968,True,"{""0"": 5, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 4, ""5"": 3}"
SANC00101,54,1022,0.959,tabu,-725.327,-724.374,-725.327,-725.327,0.3018,True,"{""0"": 1, ""1"": 5, ""2"": 0, ""3"": 3, ""4"": 7, ""5"": 4}"
SANC00305,54,1018,0.957,steepest,-732.475,-732.475,-732.475,-732.475,0.2893,True,"{""0"": 3, ""1"": 0, ""2"": 4, ""3"": 1, ""4"": 7, ""5"": 2}"
SANC00170,54,1022,0.959,tabu,-721.708,-719.841,-721.708,-721.708,0.3048,True,"{""0"": 7, ""1"": 0, ""2"": 5, ""3"": 1, ""4"": 3, ""5"": 4}"
SANC00279,54,1054,0.982,steepest,-668.051,-668.051,-668.051,-668.051,0.2988,True,"{""0"": 3, ""1"": 5, ""2"": 6, ""3"": 0, ""4"": 4, ""5"": 8}"
SANC00376,54,1012,0.952,sa,-721.225,-721.225,-721.225,-714.071,0.3,True,"{""0"": 5, ""1"": 3, ""2"": 2, ""3"": 0, ""4"": 1, ""5"": 4}"
SANC00289,54,1028,0.964,steepest,-717.963,-717.174,-717.963,-717.963,0.2926,True,"{""0"": 5, ""1"": 8, ""2"": 4, ""3"": 6, ""4"": 7, ""5"": 1}"
SANC00147,54,1022,0.959,tabu,-742.369,-741.97,-742.369,-742.369,0.2944,True,"{""0"": 8, ""1"": 6, ""2"": 1, ""3"": 0, ""4"": 7, ""5"": 2}"
SANC00264,54,1032,0.966,tabu,-731.846,-731.846,-731.846,-731.846,0.3043,True,"{""0"": 5, ""1"": 8, ""2"": 4, ""3"": 7, ""4"": 1, ""5"": 3}"
SANC00328,54,1008,0.95,steepest,-720.552,-713.368,-720.552,-720.552,0.2925,True,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 4, ""5"": 7}"
