Ligand_ID,Binding_Affinity_kcal_mol
sanc_118,-10.821
sanc_40,-10.108
sanc_704,-10.091
sanc_604,-10.043
sanc_447,-9.893
sanc_41,-9.599
sanc_34,-9.557
sanc_603,-9.466
sanc_614,-9.4
sanc_999,-9.162
sanc_33,-9.121
sanc_607,-9.042
sanc_615,-8.94
sanc_606,-8.849
sanc_995,-8.837
sanc_487,-8.834
sanc_620,-8.833
sanc_610,-8.606
sanc_998,-8.493
sanc_618,-8.369
sanc_619,-8.365
sanc_611,-8.362
sanc_446,-8.272
sanc_605,-8.223
sanc_622,-8.129
sanc_621,-8.128
sanc_445,-8.075
sanc_1002,-8.055
sanc_600,-7.992
sanc_613,-7.825
sanc_873,-7.81
sanc_617,-7.497
sanc_919,-7.294
sanc_602,-7.268
sanc_441,-7.207
sanc_327,-7.096
sanc_599,-7.038
sanc_616,-7.037
sanc_612,-6.614
sanc_609,-6.512
sanc_608,-6.409
sanc_601,-6.063
sanc_997,-5.951
sanc_991,-5.897
sanc_921,-5.876
sanc_920,-5.712
sanc_1001,-4.627
sanc_1000,-4.013
sanc_996,-1.814
sanc_386,85.591
sanc_113,828.099
sanc_77,8560.18
